ip.src	ip.dst	frame.number	frame.time_relative
192.168.1.50	192.168.1.40	24131	5.034627000
192.168.1.50	192.168.1.40	24448	5.070662000
192.168.1.50	192.168.1.40	24602	5.089971000
192.168.1.50	192.168.1.40	24619	5.094873000
192.168.1.50	192.168.1.40	24620	5.094879000
192.168.1.50	192.168.1.40	24784	5.115052000
192.168.1.50	192.168.1.40	24791	5.115217000
192.168.1.50	192.168.1.40	24837	5.120666000
192.168.1.50	192.168.1.40	24839	5.120872000
192.168.1.50	192.168.1.40	25221	5.196325000
192.168.1.50	192.168.1.40	25296	5.205896000
192.168.1.50	192.168.1.40	25297	5.205905000
192.168.1.50	192.168.1.40	25316	5.211226000
192.168.1.50	192.168.1.40	25480	5.236372000
192.168.1.50	192.168.1.40	25481	5.236595000
192.168.1.50	192.168.1.40	25573	5.245930000
192.168.1.50	192.168.1.40	25574	5.245936000
192.168.1.50	192.168.1.40	26075	5.306975000
192.168.1.50	192.168.1.40	26092	5.311577000
192.168.1.50	192.168.1.40	26093	5.311585000
192.168.1.50	192.168.1.40	26150	5.316559000
192.168.1.50	192.168.1.40	26197	5.322421000
192.168.1.50	192.168.1.40	26217	5.327221000
192.168.1.50	192.168.1.40	26451	5.351864000
192.168.1.50	192.168.1.40	26452	5.351873000
192.168.1.50	192.168.1.40	26752	5.387724000
192.168.1.50	192.168.1.40	26791	5.392155000
192.168.1.50	192.168.1.40	26794	5.392407000
192.168.1.50	192.168.1.40	26849	5.397361000
192.168.1.50	192.168.1.40	26884	5.403430000
192.168.1.50	192.168.1.40	26885	5.403754000
192.168.1.50	192.168.1.40	27022	5.423442000
192.168.1.50	192.168.1.40	27023	5.423446000
192.168.1.50	192.168.1.40	27150	5.443329000
192.168.1.50	192.168.1.40	27156	5.448075000
192.168.1.50	192.168.1.40	27222	5.458431000
192.168.1.50	192.168.1.40	27226	5.458666000
192.168.1.50	192.168.1.40	27227	5.458671000
192.168.1.50	192.168.1.40	27264	5.462741000
192.168.1.50	192.168.1.40	27265	5.462746000
192.168.1.50	192.168.1.40	27266	5.462884000
192.168.1.50	192.168.1.40	27411	5.489362000
192.168.1.50	192.168.1.40	27412	5.489366000
192.168.1.50	192.168.1.40	27552	5.518758000
192.168.1.50	192.168.1.40	27556	5.523289000
192.168.1.50	192.168.1.40	27705	5.538350000
192.168.1.50	192.168.1.40	27706	5.538356000
192.168.1.50	192.168.1.40	27707	5.538523000
192.168.1.50	192.168.1.40	27708	5.538768000
192.168.1.50	192.168.1.40	27709	5.538772000
192.168.1.50	192.168.1.40	27711	5.538940000
192.168.1.50	192.168.1.40	27962	5.578859000
192.168.1.50	192.168.1.40	27966	5.579135000
192.168.1.50	192.168.1.40	28058	5.604841000
192.168.1.50	192.168.1.40	28059	5.604846000
192.168.1.50	192.168.1.40	28146	5.624901000
192.168.1.50	192.168.1.40	28152	5.625217000
192.168.1.50	192.168.1.40	28153	5.625221000
192.168.1.50	192.168.1.40	28202	5.629077000
192.168.1.50	192.168.1.40	28365	5.644923000
192.168.1.50	192.168.1.40	28366	5.644928000
192.168.1.50	192.168.1.40	28720	5.684964000
192.168.1.50	192.168.1.40	28722	5.685145000
